"Dte.","Barris","2003-2007","2004-2008","2005-2009","2006-2010","2007-2011","2008-2012","2009-2013","2010-2014","2011-2015"
"BARCELONA",,49126,49209,48314,47385,46369,44915,42867,41488,39999
1,"1. el Raval",1446,1474,1505,1486,1618,1653,1619,1573,1524
1,"2. el Barri Gòtic",388,382,358,340,340,317,302,287,267
1,"3. la Barceloneta",445,446,419,417,428,414,393,384,347
1,"4. Sant Pere, Santa Caterina i la Ribera",570,569,561,531,591,593,547,526,500
2,"5. el Fort Pienc",733,759,737,733,774,767,758,750,703
2,"6. la Sagrada Família",1191,1217,1183,1153,1205,1210,1142,1143,1145
2,"7. la Dreta de l'Eixample",1046,1034,995,963,978,941,891,856,836
2,"8. l'Antiga Esquerra de l'Eixample",1047,1032,1033,970,1005,937,907,872,835
2,"9. la Nova Esquerra de l'Eixample",1484,1407,1322,1263,1288,1297,1237,1222,1185
2,"10. Sant Antoni",950,884,839,831,868,844,850,855,852
3,"11. el Poble Sec - Parc Montjuïc",1165,1200,1209,1241,1311,1324,1241,1195,1126
3,"12. la Marina del Prat Vermell - Zona Franca",62,43,33,36,35,40,43,51,51
3,"13. la Marina de Port",955,971,953,914,975,940,890,841,796
3,"14. la Font de la Guatlla",240,243,246,244,258,246,242,222,211
3,"15. Hostafrancs",443,418,390,378,384,374,375,379,364
3,"16. la Bordeta",514,490,468,445,455,464,430,415,431
3,"17. Sants - Badal",631,626,637,598,623,634,610,563,543
3,"18. Sants",1019,1025,1039,975,1061,1049,1015,989,1003
4,"19. les Corts",929,912,927,927,993,978,951,918,885
4,"20. la Maternitat i Sant Ramon",482,471,451,461,470,487,509,497,481
4,"21. Pedralbes",238,218,193,183,201,190,188,194,196
5,"22. Vallvidrera, el Tibidabo i les Planes",113,112,104,85,85,81,84,96,102
5,"23. Sarrià",729,687,689,639,659,667,655,621,604
5,"24. les Tres Torres",445,396,372,353,355,349,357,357,337
5,"25. Sant Gervasi - la Bonanova",584,555,546,535,541,531,515,505,504
5,"26. Sant Gervasi - Galvany",1175,1173,1095,1085,1126,1065,1018,981,970
5,"27. el Putxet i el Farró",844,796,772,754,766,717,708,665,673
6,"28. Vallcarca i els Penitents",437,425,393,369,363,373,365,357,348
6,"29. el Coll",217,212,215,217,221,199,182,181,167
6,"30. la Salut",320,326,307,295,328,329,300,303,303
6,"31. la Vila de Gràcia",1366,1379,1328,1327,1408,1363,1294,1258,1235
6,"32. el Camp d'en Grassot i Gràcia Nova",813,809,784,784,810,805,745,725,695
7,"33. el Baix Guinardó",583,600,598,579,615,607,579,580,541
7,"34. Can Baró",204,230,226,225,242,246,215,211,181
7,"35. el Guinardó",949,932,927,886,941,938,904,862,859
7,"36. la Font d'en Fargues",242,231,221,207,219,217,202,195,194
7,"37. el Carmel",1053,1084,1056,1007,1052,1014,913,882,841
7,"38. la Teixonera",388,391,368,353,370,351,344,325,308
7,"39. Sant Genís dels Agudells",190,182,179,158,165,166,163,144,145
7,"40. Montbau",166,158,158,146,154,136,127,115,98
7,"41. la Vall d'Hebron",131,114,107,88,87,92,94,91,102
7,"42. la Clota",13,12,16,16,19,18,20,17,23
7,"43. Horta",666,654,654,622,647,644,609,557,530
8,"44. Vilapicina i la Torre Llobeta",657,668,641,590,617,612,569,552,563
8,"45. Porta",616,608,626,621,660,649,661,644,614
8,"46. el Turó de la Peira",417,438,437,451,481,502,496,492,492
8,"47. Can Peguera",52,58,61,65,79,74,73,69,66
8,"48. la Guineueta",337,353,346,331,331,347,326,315,293
8,"49. Canyelles",171,170,164,154,163,161,159,150,155
8,"50. les Roquetes",642,651,598,606,681,665,625,597,577
8,"51. Verdun",365,391,410,428,453,426,405,372,359
8,"52. la Prosperitat",783,801,795,808,843,816,737,731,696
8,"53. la Trinitat Nova",249,257,278,287,307,316,290,269,254
8,"54. Torre Baró",90,94,85,78,83,79,78,75,88
8,"55. Ciutat Meridiana",452,471,477,488,501,463,418,409,373
8,"56. Vallbona",37,57,71,81,86,92,81,74,62
9,"57. la Trinitat Vella",312,369,410,450,483,481,441,416,349
9,"58. Baró de Viver",102,103,100,103,105,96,88,81,81
9,"59. el Bon Pastor",585,589,632,625,594,559,513,443,385
9,"60. Sant Andreu",1596,1574,1537,1513,1564,1495,1445,1385,1292
9,"61. la Sagrera",701,733,734,747,793,757,754,727,718
9,"62. el Congrés i els Indians",344,355,346,356,376,365,365,367,356
9,"63. Navas",554,538,502,504,536,520,517,515,501
10,"64. el Camp de l'Arpa del Clot",957,1009,1005,1003,1025,954,924,887,861
10,"65. el Clot",768,755,726,684,684,666,628,598,583
10,"66. el Parc i la Llacuna del Poblenou",401,379,377,363,377,380,370,366,374
10,"67. la Vila Olímpica del Poblenou",267,245,232,219,231,218,212,204,195
10,"68. el Poblenou",1060,1084,1048,1030,1070,1048,974,949,877
10,"69. Diagonal Mar i el Front Marítim del Poblenou",466,471,438,420,448,453,462,457,473
10,"70. el Besòs i el Maresme",642,682,685,712,765,785,770,769,721
10,"71. Provençals del Poblenou",535,576,582,590,621,595,586,586,570
10,"72. Sant Martí de Provençals",712,711,679,642,681,621,601,572,555
10,"73. la Verneda i la Pau",783,792,770,766,789,762,728,690,667
,"No consta",5867,5948,5909,5851,2908,2351,2038,1967,1808
