"Dte.","Barris","2003-2007","2004-2008","2005-2009","2006-2010","2007-2011","2008-2012","2009-2013","2010-2014","2011-2015"
"BARCELONA",,22806,24031,25062,26279,27426,28421,28966,29611,30625
1,"1. el Raval",508,558,606,608,673,676,662,659,675
1,"2. el Barri Gòtic",206,201,192,199,218,224,228,218,200
1,"3. la Barceloneta",130,143,160,161,160,167,172,156,179
1,"4. Sant Pere, Santa Caterina i la Ribera",286,311,341,345,390,398,396,372,380
2,"5. el Fort Pienc",390,410,431,443,477,502,522,536,548
2,"6. la Sagrada Família",657,684,713,723,788,828,834,871,904
2,"7. la Dreta de l'Eixample",640,672,743,771,872,920,999,1010,1057
2,"8. l'Antiga Esquerra de l'Eixample",649,666,685,704,747,777,795,817,875
2,"9. la Nova Esquerra de l'Eixample",813,822,842,847,915,985,970,989,1061
2,"10. Sant Antoni",502,486,510,519,586,612,648,640,706
3,"11. el Poble Sec - Parc Montjuïc",427,455,484,510,583,601,647,660,669
3,"12. la Marina del Prat Vermell - Zona Franca",17,11,11,13,16,15,14,19,26
3,"13. la Marina de Port",329,372,382,408,448,451,432,425,423
3,"14. la Font de la Guatlla",116,119,134,129,143,135,141,146,144
3,"15. Hostafrancs",185,175,175,196,221,234,262,289,280
3,"16. la Bordeta",220,231,231,253,300,308,287,300,322
3,"17. Sants - Badal",231,251,267,271,325,347,356,375,414
3,"18. Sants",503,526,534,551,604,634,647,686,727
4,"19. les Corts",563,591,605,659,747,797,831,865,904
4,"20. la Maternitat i Sant Ramon",247,258,271,290,352,369,380,401,427
4,"21. Pedralbes",137,148,155,181,200,204,211,224,224
5,"22. Vallvidrera, el Tibidabo i les Planes",79,85,93,99,111,115,112,107,111
5,"23. Sarrià",393,392,395,418,486,508,545,576,596
5,"24. les Tres Torres",325,325,322,327,352,358,358,353,364
5,"25. Sant Gervasi - la Bonanova",398,413,429,478,537,575,561,571,567
5,"26. Sant Gervasi - Galvany",826,856,867,902,977,1018,1013,1034,1070
5,"27. el Putxet i el Farró",463,460,493,543,588,624,659,646,655
6,"28. Vallcarca i els Penitents",224,246,272,302,336,358,353,348,353
6,"29. el Coll",103,112,121,136,156,167,164,172,164
6,"30. la Salut",195,214,207,215,233,245,231,232,232
6,"31. la Vila de Gràcia",732,791,835,859,1009,1077,1111,1149,1226
6,"32. el Camp d'en Grassot i Gràcia Nova",504,532,558,573,631,641,647,651,675
7,"33. el Baix Guinardó",282,286,296,320,368,388,419,425,438
7,"34. Can Baró",108,129,137,141,135,147,142,143,141
7,"35. el Guinardó",467,474,490,529,589,608,637,668,666
7,"36. la Font d'en Fargues",134,152,146,171,180,183,172,175,172
7,"37. el Carmel",299,313,355,377,420,415,438,428,450
7,"38. la Teixonera",110,121,126,149,161,163,171,166,161
7,"39. Sant Genís dels Agudells",60,68,66,73,80,87,100,105,97
7,"40. Montbau",77,91,89,94,102,98,85,77,76
7,"41. la Vall d'Hebron",89,96,93,89,87,85,78,79,89
7,"42. la Clota",7,8,7,7,6,3,4,10,12
7,"43. Horta",317,323,337,356,400,422,459,459,475
8,"44. Vilapicina i la Torre Llobeta",312,337,347,336,375,376,389,375,410
8,"45. Porta",224,224,246,288,323,323,363,380,402
8,"46. el Turó de la Peira",134,143,155,165,186,196,193,198,204
8,"47. Can Peguera",13,17,17,17,20,23,20,21,34
8,"48. la Guineueta",168,179,187,190,209,222,213,194,213
8,"49. Canyelles",66,67,73,85,85,92,90,94,90
8,"50. les Roquetes",129,146,157,165,179,179,183,185,185
8,"51. Verdun",108,127,133,127,152,161,155,148,147
8,"52. la Prosperitat",228,259,268,294,329,338,327,340,338
8,"53. la Trinitat Nova",76,81,79,80,88,81,86,80,83
8,"54. Torre Baró",13,16,14,17,17,20,28,37,40
8,"55. Ciutat Meridiana",84,87,87,97,111,108,114,124,140
8,"56. Vallbona",13,19,18,18,16,15,15,21,25
9,"57. la Trinitat Vella",106,112,130,135,149,153,168,161,156
9,"58. Baró de Viver",19,19,23,26,30,27,29,31,25
9,"59. el Bon Pastor",140,170,188,223,259,260,267,273,258
9,"60. Sant Andreu",688,744,824,890,1006,1051,1084,1126,1170
9,"61. la Sagrera",283,306,307,334,384,415,442,474,493
9,"62. el Congrés i els Indians",138,156,174,180,201,223,220,219,228
9,"63. Navas",269,280,273,310,348,340,334,347,342
10,"64. el Camp de l'Arpa del Clot",448,476,526,550,577,604,639,633,674
10,"65. el Clot",409,462,480,502,526,515,474,448,446
10,"66. el Parc i la Llacuna del Poblenou",174,171,174,197,215,235,243,275,310
10,"67. la Vila Olímpica del Poblenou",237,231,229,225,236,230,237,242,255
10,"68. el Poblenou",562,604,635,659,744,795,826,870,896
10,"69. Diagonal Mar i el Front Marítim del Poblenou",230,277,295,328,371,430,438,460,467
10,"70. el Besòs i el Maresme",178,184,188,204,241,252,257,283,284
10,"71. Provençals del Poblenou",220,248,263,272,325,379,417,442,451
10,"72. Sant Martí de Provençals",282,320,329,320,348,378,390,415,440
10,"73. la Verneda i la Pau",246,266,287,309,312,354,356,379,409
,"No consta",2661,2726,2750,2797,1355,1177,1076,1104,1075
