"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell acadèmic","Nombre"
2011,1,"Ciutat Vella",1,"el Raval","Home","Sense estudis",1775
2011,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Sense estudis",550
2011,1,"Ciutat Vella",3,"la Barceloneta","Home","Sense estudis",721
2011,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Sense estudis",717
2011,2,"Eixample",5,"el Fort Pienc","Home","Sense estudis",787
2011,2,"Eixample",6,"la Sagrada Família","Home","Sense estudis",1241
2011,2,"Eixample",7,"la Dreta de l'Eixample","Home","Sense estudis",737
2011,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Sense estudis",736
2011,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Sense estudis",1156
2011,2,"Eixample",10,"Sant Antoni","Home","Sense estudis",905
2011,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Sense estudis",1356
2011,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Sense estudis",99
2011,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Sense estudis",1407
2011,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Sense estudis",308
2011,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Sense estudis",516
2011,3,"Sants-Montjuïc",16,"la Bordeta","Home","Sense estudis",646
2011,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Sense estudis",873
2011,3,"Sants-Montjuïc",18,"Sants","Home","Sense estudis",1258
2011,4,"Les Corts",19,"les Corts","Home","Sense estudis",1089
2011,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Sense estudis",673
2011,4,"Les Corts",21,"Pedralbes","Home","Sense estudis",223
2011,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Sense estudis",110
2011,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Sense estudis",451
2011,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Sense estudis",263
2011,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Sense estudis",400
2011,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Sense estudis",762
2011,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Sense estudis",538
2011,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Sense estudis",326
2011,6,"Gràcia",29,"el Coll","Home","Sense estudis",224
2011,6,"Gràcia",30,"la Salut","Home","Sense estudis",342
2011,6,"Gràcia",31,"la Vila de Gràcia","Home","Sense estudis",1067
2011,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Sense estudis",760
2011,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Sense estudis",728
2011,7,"Horta-Guinardó",34,"Can Baró","Home","Sense estudis",344
2011,7,"Horta-Guinardó",35,"el Guinardó","Home","Sense estudis",964
2011,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Sense estudis",294
2011,7,"Horta-Guinardó",37,"el Carmel","Home","Sense estudis",2010
2011,7,"Horta-Guinardó",38,"la Teixonera","Home","Sense estudis",596
2011,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Sense estudis",354
2011,7,"Horta-Guinardó",40,"Montbau","Home","Sense estudis",200
2011,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Sense estudis",193
2011,7,"Horta-Guinardó",42,"la Clota","Home","Sense estudis",20
2011,7,"Horta-Guinardó",43,"Horta","Home","Sense estudis",1217
2011,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Sense estudis",978
2011,8,"Nou Barris",45,"Porta","Home","Sense estudis",1242
2011,8,"Nou Barris",46,"el Turó de la Peira","Home","Sense estudis",737
2011,8,"Nou Barris",47,"Can Peguera","Home","Sense estudis",145
2011,8,"Nou Barris",48,"la Guineueta","Home","Sense estudis",710
2011,8,"Nou Barris",49,"Canyelles","Home","Sense estudis",434
2011,8,"Nou Barris",50,"les Roquetes","Home","Sense estudis",1101
2011,8,"Nou Barris",51,"Verdun","Home","Sense estudis",733
2011,8,"Nou Barris",52,"la Prosperitat","Home","Sense estudis",1636
2011,8,"Nou Barris",53,"la Trinitat Nova","Home","Sense estudis",448
