,Order,Name,Gender,Decade,Frequency
0,1,MARIA,Female,Before 1930,2085
1,2,CARMEN,Female,Before 1930,1463
2,3,JOSEFA,Female,Before 1930,1032
3,4,MONTSERRAT,Female,Before 1930,879
4,5,ROSA,Female,Before 1930,762
5,6,TERESA,Female,Before 1930,734
6,7,PILAR,Female,Before 1930,694
7,8,DOLORES,Female,Before 1930,679
8,9,MERCEDES,Female,Before 1930,603
9,10,FRANCISCA,Female,Before 1930,596
10,11,ANTONIA,Female,Before 1930,573
11,12,ISABEL,Female,Before 1930,544
12,13,CONCEPCION,Female,Before 1930,522
13,14,NURIA,Female,Before 1930,404
14,15,ANA,Female,Before 1930,350
15,16,JUANA,Female,Before 1930,315
16,17,M TERESA,Female,Before 1930,292
17,18,ROSARIO,Female,Before 1930,266
18,19,M ROSA,Female,Before 1930,245
19,20,JOSEFINA,Female,Before 1930,231
20,21,JULIA,Female,Before 1930,215
21,22,M CARMEN,Female,Before 1930,215
22,23,M DOLORES,Female,Before 1930,213
23,24,ANGELA,Female,Before 1930,209
24,25,MANUELA,Female,Before 1930,205
25,26,ANGELES,Female,Before 1930,202
26,27,MARGARITA,Female,Before 1930,198
27,28,EMILIA,Female,Before 1930,188
28,29,CARME,Female,Before 1930,185
29,30,M LUISA,Female,Before 1930,185
30,31,MERCE,Female,Before 1930,181
31,32,AMPARO,Female,Before 1930,171
32,33,LUISA,Female,Before 1930,157
33,34,ASUNCION,Female,Before 1930,151
34,35,ENCARNACIO,Female,Before 1930,147
35,36,RAMONA,Female,Before 1930,144
36,37,CONSUELO,Female,Before 1930,141
37,38,MATILDE,Female,Before 1930,134
38,39,M PILAR,Female,Before 1930,133
39,40,ELVIRA,Female,Before 1930,132
40,41,JOAQUINA,Female,Before 1930,132
41,42,AURORA,Female,Before 1930,131
42,43,VICTORIA,Female,Before 1930,129
43,44,VICENTA,Female,Before 1930,125
44,45,DOLORS,Female,Before 1930,122
45,46,ENRIQUETA,Female,Before 1930,121
46,47,ELENA,Female,Before 1930,118
47,48,MAGDALENA,Female,Before 1930,116
48,49,FELISA,Female,Before 1930,109
49,50,TRINIDAD,Female,Before 1930,107
50,1,MARIA,Female,1930,3839
51,2,CARMEN,Female,1930,3248
52,3,JOSEFA,Female,1930,2251
53,4,MONTSERRAT,Female,1930,1804
54,5,ROSA,Female,1930,1565
55,6,PILAR,Female,1930,1555
56,7,DOLORES,Female,1930,1431
57,8,ISABEL,Female,1930,1371
58,9,FRANCISCA,Female,1930,1361
59,10,ANTONIA,Female,1930,1316
60,11,TERESA,Female,1930,1291
61,12,MERCEDES,Female,1930,1244
62,13,NURIA,Female,1930,1066
63,14,CONCEPCION,Female,1930,1048
64,15,M TERESA,Female,1930,917
65,16,M CARMEN,Female,1930,891
66,17,M ROSA,Female,1930,827
67,18,ANA,Female,1930,823
68,19,JUANA,Female,1930,821
69,20,ROSARIO,Female,1930,743
70,21,MANUELA,Female,1930,586
71,22,M DOLORES,Female,1930,556
72,23,M LUISA,Female,1930,533
73,24,JOSEFINA,Female,1930,513
74,25,ANGELES,Female,1930,510
75,26,MARGARITA,Female,1930,487
76,27,M PILAR,Female,1930,468
77,28,JULIA,Female,1930,416
78,29,ANGELA,Female,1930,414
79,30,LUISA,Female,1930,395
80,31,CONSUELO,Female,1930,385
81,32,ENCARNACIO,Female,1930,366
82,33,EMILIA,Female,1930,362
83,34,AMPARO,Female,1930,354
84,35,AURORA,Female,1930,348
85,36,ANA MARIA,Female,1930,334
86,37,ROSER,Female,1930,333
87,38,ELENA,Female,1930,328
88,39,MERCE,Female,1930,324
89,40,CARME,Female,1930,314
90,41,VICTORIA,Female,1930,310
