"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloc de procedència","Nombre"
2015,1,"Ciutat Vella",1,"el Raval","Andalusia",125
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Andalusia",46
2015,1,"Ciutat Vella",3,"la Barceloneta","Andalusia",45
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Andalusia",58
2015,2,"Eixample",5,"el Fort Pienc","Andalusia",56
2015,2,"Eixample",6,"la Sagrada Família","Andalusia",81
2015,2,"Eixample",7,"la Dreta de l'Eixample","Andalusia",59
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Andalusia",76
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Andalusia",70
2015,2,"Eixample",10,"Sant Antoni","Andalusia",56
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Andalusia",72
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Andalusia",2
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Andalusia",48
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Andalusia",36
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Andalusia",34
2015,3,"Sants-Montjuïc",16,"la Bordeta","Andalusia",29
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Andalusia",26
2015,3,"Sants-Montjuïc",18,"Sants","Andalusia",69
2015,4,"Les Corts",19,"les Corts","Andalusia",58
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Andalusia",42
2015,4,"Les Corts",21,"Pedralbes","Andalusia",12
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Andalusia",1
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Andalusia",24
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Andalusia",6
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Andalusia",25
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Andalusia",38
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Andalusia",39
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Andalusia",19
2015,6,"Gràcia",29,"el Coll","Andalusia",9
2015,6,"Gràcia",30,"la Salut","Andalusia",19
2015,6,"Gràcia",31,"la Vila de Gràcia","Andalusia",113
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Andalusia",40
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Andalusia",33
2015,7,"Horta-Guinardó",34,"Can Baró","Andalusia",13
2015,7,"Horta-Guinardó",35,"el Guinardó","Andalusia",48
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Andalusia",3
2015,7,"Horta-Guinardó",37,"el Carmel","Andalusia",44
2015,7,"Horta-Guinardó",38,"la Teixonera","Andalusia",14
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Andalusia",14
2015,7,"Horta-Guinardó",40,"Montbau","Andalusia",7
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Andalusia",4
2015,7,"Horta-Guinardó",42,"la Clota","Andalusia",0
2015,7,"Horta-Guinardó",43,"Horta","Andalusia",22
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Andalusia",42
2015,8,"Nou Barris",45,"Porta","Andalusia",37
2015,8,"Nou Barris",46,"el Turó de la Peira","Andalusia",14
2015,8,"Nou Barris",47,"Can Peguera","Andalusia",6
2015,8,"Nou Barris",48,"la Guineueta","Andalusia",19
2015,8,"Nou Barris",49,"Canyelles","Andalusia",5
2015,8,"Nou Barris",50,"les Roquetes","Andalusia",48
2015,8,"Nou Barris",51,"Verdun","Andalusia",13
2015,8,"Nou Barris",52,"la Prosperitat","Andalusia",27
2015,8,"Nou Barris",53,"la Trinitat Nova","Andalusia",12
2015,8,"Nou Barris",54,"Torre Baró","Andalusia",4
2015,8,"Nou Barris",55,"Ciutat Meridiana","Andalusia",15
2015,8,"Nou Barris",56,"Vallbona","Andalusia",2
2015,9,"Sant Andreu",57,"la Trinitat Vella","Andalusia",12
2015,9,"Sant Andreu",58,"Baró de Viver","Andalusia",4
2015,9,"Sant Andreu",59,"el Bon Pastor","Andalusia",11
2015,9,"Sant Andreu",60,"Sant Andreu","Andalusia",56
2015,9,"Sant Andreu",61,"la Sagrera","Andalusia",33
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Andalusia",17
2015,9,"Sant Andreu",63,"Navas","Andalusia",30
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Andalusia",75
2015,10,"Sant Martí",65,"el Clot","Andalusia",54
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Andalusia",13
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Andalusia",7
2015,10,"Sant Martí",68,"el Poblenou","Andalusia",30
