Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloc_procedencia,Nombre
2017,1,Ciutat Vella,1,el Raval,Andalusia,108
2017,1,Ciutat Vella,2,el Barri Gòtic,Andalusia,76
2017,1,Ciutat Vella,3,la Barceloneta,Andalusia,52
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Andalusia,49
2017,2,Eixample,5,el Fort Pienc,Andalusia,67
2017,2,Eixample,6,la Sagrada Família,Andalusia,78
2017,2,Eixample,7,la Dreta de l'Eixample,Andalusia,71
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Andalusia,77
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Andalusia,87
2017,2,Eixample,10,Sant Antoni,Andalusia,66
2017,3,Sants-Montjuïc,11,el Poble Sec,Andalusia,77
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Andalusia,0
2017,3,Sants-Montjuïc,13,la Marina de Port,Andalusia,37
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Andalusia,15
2017,3,Sants-Montjuïc,15,Hostafrancs,Andalusia,40
2017,3,Sants-Montjuïc,16,la Bordeta,Andalusia,33
2017,3,Sants-Montjuïc,17,Sants - Badal,Andalusia,54
2017,3,Sants-Montjuïc,18,Sants,Andalusia,67
2017,4,Les Corts,19,les Corts,Andalusia,52
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Andalusia,29
2017,4,Les Corts,21,Pedralbes,Andalusia,13
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Andalusia,4
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Andalusia,33
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Andalusia,9
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Andalusia,22
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Andalusia,47
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Andalusia,28
2017,6,Gràcia,28,Vallcarca i els Penitents,Andalusia,35
2017,6,Gràcia,29,el Coll,Andalusia,8
2017,6,Gràcia,30,la Salut,Andalusia,22
2017,6,Gràcia,31,la Vila de Gràcia,Andalusia,94
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Andalusia,37
2017,7,Horta-Guinardó,33,el Baix Guinardó,Andalusia,40
2017,7,Horta-Guinardó,34,Can Baró,Andalusia,17
2017,7,Horta-Guinardó,35,el Guinardó,Andalusia,52
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Andalusia,7
2017,7,Horta-Guinardó,37,el Carmel,Andalusia,44
2017,7,Horta-Guinardó,38,la Teixonera,Andalusia,12
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Andalusia,5
2017,7,Horta-Guinardó,40,Montbau,Andalusia,10
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Andalusia,6
2017,7,Horta-Guinardó,42,la Clota,Andalusia,0
2017,7,Horta-Guinardó,43,Horta,Andalusia,40
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Andalusia,35
2017,8,Nou Barris,45,Porta,Andalusia,42
2017,8,Nou Barris,46,el Turó de la Peira,Andalusia,17
2017,8,Nou Barris,47,Can Peguera,Andalusia,1
2017,8,Nou Barris,48,la Guineueta,Andalusia,19
2017,8,Nou Barris,49,Canyelles,Andalusia,7
2017,8,Nou Barris,50,les Roquetes,Andalusia,19
2017,8,Nou Barris,51,Verdun,Andalusia,6
2017,8,Nou Barris,52,la Prosperitat,Andalusia,30
2017,8,Nou Barris,53,la Trinitat Nova,Andalusia,11
2017,8,Nou Barris,54,Torre Baró,Andalusia,5
2017,8,Nou Barris,55,Ciutat Meridiana,Andalusia,14
2017,8,Nou Barris,56,Vallbona,Andalusia,6
2017,9,Sant Andreu,57,la Trinitat Vella,Andalusia,21
2017,9,Sant Andreu,58,Baró de Viver,Andalusia,0
2017,9,Sant Andreu,59,el Bon Pastor,Andalusia,20
2017,9,Sant Andreu,60,Sant Andreu,Andalusia,47
2017,9,Sant Andreu,61,la Sagrera,Andalusia,56
2017,9,Sant Andreu,62,el Congrés i els Indians,Andalusia,21
2017,9,Sant Andreu,63,Navas,Andalusia,19
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Andalusia,56
2017,10,Sant Martí,65,el Clot,Andalusia,51
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Andalusia,21
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Andalusia,6
2017,10,Sant Martí,68,el Poblenou,Andalusia,31
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Andalusia,11
2017,10,Sant Martí,70,el Besòs i el Maresme,Andalusia,33
2017,10,Sant Martí,71,Provençals del Poblenou,Andalusia,28
2017,10,Sant Martí,72,Sant Martí de Provençals,Andalusia,29
2017,10,Sant Martí,73,la Verneda i la Pau,Andalusia,34
2017,99,No consta,99,No consta,Andalusia,0
2017,1,Ciutat Vella,1,el Raval,Aragó,29
2017,1,Ciutat Vella,2,el Barri Gòtic,Aragó,16
2017,1,Ciutat Vella,3,la Barceloneta,Aragó,3
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Aragó,14
2017,2,Eixample,5,el Fort Pienc,Aragó,19
2017,2,Eixample,6,la Sagrada Família,Aragó,24
2017,2,Eixample,7,la Dreta de l'Eixample,Aragó,18
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Aragó,31
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Aragó,37
2017,2,Eixample,10,Sant Antoni,Aragó,20
2017,3,Sants-Montjuïc,11,el Poble Sec,Aragó,16
