"Dte.","Barris","2006-2010","2007-2011","2008-2012","2009-2013","2010-2014"
"BARCELONA",,"78.9","79.3","79.6",80,"80.3"
1,"1. el Raval","77.9","75.1","75.7","76.2","76.5"
1,"2. el Barri Gòtic","81.3","78.6","78.9","79.5","78.7"
1,"3. la Barceloneta","78.3",75,"75.8","78.6","75.9"
1,"4. Sant Pere, Santa Caterina i la Ribera","80.9",78,"77.7","78.8","78.3"
2,"5. el Fort Pienc",83,"80.7","80.9","80.2","81.4"
2,"6. la Sagrada Família","83.2","80.6",81,"79.2","81.3"
2,"7. la Dreta de l'Eixample","81.2","78.9","79.3","79.1","80.1"
2,"8. l'Antiga Esquerra de l'Eixample","82.3","79.8","80.3","80.3","80.8"
2,"9. la Nova Esquerra de l'Eixample","82.1","79.9",80,"81.4",81
2,"10. Sant Antoni","81.7","79.3","79.4","80.9","79.8"
3,"11. el Poble Sec - Parc Montjuïc","80.6","78.2","78.7",82,"78.8"
3,"12. la Marina del Prat Vermell - Zona Franca",,,,,
3,"13. la Marina de Port","83.1","80.3","79.9",83,80
3,"14. la Font de la Guatlla","81.5","77.9","78.1","84.2","78.8"
3,"15. Hostafrancs","81.2","78.9","78.7","78.2","79.8"
3,"16. la Bordeta","83.9","80.9","80.4","81.8","80.9"
3,"17. Sants - Badal","83.5","81.2","81.2","83.5",82
3,"18. Sants","81.7","79.5","80.2","82.4","81.6"
4,"19. les Corts",83,"81.1","81.4","81.8","82.4"
4,"20. la Maternitat i Sant Ramon","83.9",82,"82.1","82.1","83.5"
4,"21. Pedralbes","84.7","82.7","83.3","80.7","83.6"
5,"22. Vallvidrera, el Tibidabo i les Planes","78.9","77.6","77.8",81,79
5,"23. Sarrià","83.7","81.1","81.2",76,"81.7"
5,"24. les Tres Torres","84.7",83,"83.2",78,"83.9"
5,"25. Sant Gervasi - la Bonanova","83.5","81.7","81.8","79.6","82.5"
5,"26. Sant Gervasi - Galvany","83.6","81.2","81.3","81.3","81.9"
5,"27. el Putxet i el Farró","83.7","81.3","81.7","81.2","82.5"
6,"28. Vallcarca i els Penitents","82.6","80.2","80.6","80.9","80.9"
6,"29. el Coll","81.4","79.6","80.7","80.1","81.4"
6,"30. la Salut","79.6","77.6","78.6","80.1","78.9"
6,"31. la Vila de Gràcia","81.8",79,"79.1","79.4","79.9"
6,"32. el Camp d'en Grassot i Gràcia Nova","82.7","80.6",81,80,"81.4"
7,"33. el Baix Guinardó","83.9","81.2","81.1",81,81
7,"34. Can Baró","81.5","78.9","80.3","78.8","81.1"
7,"35. el Guinardó","81.7","79.7","80.1","77.4","80.2"
7,"36. la Font d'en Fargues","81.6","79.7","79.8","80.5","80.8"
7,"37. el Carmel","80.7","78.7",79,"77.8","79.4"
7,"38. la Teixonera","82.3","79.6","79.8","79.6","80.4"
7,"39. Sant Genís dels Agudells","81.8",80,"81.3","79.6","81.5"
7,"40. Montbau","77.1","74.9","75.9","80.4","77.5"
7,"41. la Vall d'Hebron","83.6","80.7","80.4",81,80
7,"42. la Clota",,,,,
7,"43. Horta","81.4","78.8","79.4","79.7","80.7"
8,"44. Vilapicina i la Torre Llobeta","81.8","79.1","79.7","79.8","79.8"
8,"45. Porta","81.7","79.8","79.9","81.1",81
8,"46. el Turó de la Peira","80.9",79,80,77,"81.3"
8,"47. Can Peguera","74.7","72.3","71.8","77.9",75
8,"48. la Guineueta","80.9","78.6","78.8","80.1",81
8,"49. Canyelles",82,"79.3","79.8","75.8","79.7"
8,"50. les Roquetes","79.2","76.7","76.8",69,"77.6"
8,"51. Verdun","80.2","77.8","78.1","79.6","77.7"
8,"52. la Prosperitat","81.7","79.3","80.1","77.7","80.4"
8,"53. la Trinitat Nova",78,"75.9","75.4","79.8","76.6"
8,"54. Torre Baró",,"70.7","69.5","73.1","71.3"
8,"55. Ciutat Meridiana","80.4",78,"78.2","78.3","79.3"
8,"56. Vallbona",,,,,76
9,"57. la Trinitat Vella","80.4","77.7",79,"80.6","80.8"
9,"58. Baró de Viver","74.2","71.2",,"81.3","74.6"
9,"59. el Bon Pastor","80.4","77.8",78,"80.3","78.1"
9,"60. Sant Andreu","81.7","79.7","80.3","81.8","81.2"
9,"61. la Sagrera","83.7","81.3","81.6","81.3","82.2"
9,"62. el Congrés i els Indians","81.7","79.2","79.5","80.9","80.3"
9,"63. Navas","82.5","80.4","80.6","80.5","82.3"
10,"64. el Camp de l'Arpa del Clot","82.9","80.4","81.1","82.4","81.9"
10,"65. el Clot","81.9","80.3","80.6","78.9","81.3"
10,"66. el Parc i la Llacuna del Poblenou","82.4","79.8","80.2","81.8","80.5"
10,"67. la Vila Olímpica del Poblenou","87.2","82.6","82.1","80.2","82.7"
10,"68. el Poblenou","81.4","78.7","78.4","78.8","79.5"
10,"69. Diagonal Mar i el Front Marítim del Poblenou","82.1","80.9","81.2","79.7","82.2"
10,"70. el Besòs i el Maresme","80.2","78.1","78.4","79.8","79.6"
10,"71. Provençals del Poblenou","80.4","78.8","79.4","80.1","81.5"
10,"72. Sant Martí de Provençals","81.9","79.5","79.7","80.5","80.2"
10,"73. la Verneda i la Pau",82,"79.7","79.9","80.5","80.6"
