"Dte.","Barris","2006-2010","2007-2011","2008-2012","2009-2013","2010-2014"
"BARCELONA",,"85.7",86,"86.1","86.4","86.8"
1,"1. el Raval","87.5","84.9","84.7","84.9","85.3"
1,"2. el Barri Gòtic",88,"84.3","84.4","87.5","84.4"
1,"3. la Barceloneta","88.2","85.3","84.4","86.3","84.7"
1,"4. Sant Pere, Santa Caterina i la Ribera","88.9","85.9","86.1","85.5","85.3"
2,"5. el Fort Pienc","89.7","87.1","87.2","87.7","86.7"
2,"6. la Sagrada Família","88.9","86.6","86.8","85.1","87.2"
2,"7. la Dreta de l'Eixample",87,85,"85.1","85.7","85.1"
2,"8. l'Antiga Esquerra de l'Eixample","88.9","86.4","86.3","85.8","86.9"
2,"9. la Nova Esquerra de l'Eixample",90,"87.4","87.5",87,"88.7"
2,"10. Sant Antoni",89,"86.3","86.5",86,"87.6"
3,"11. el Poble Sec - Parc Montjuïc","88.5","85.5","85.6","88.2","86.4"
3,"12. la Marina del Prat Vermell - Zona Franca",,,,,
3,"13. la Marina de Port","88.5","86.2","86.5","88.1","87.7"
3,"14. la Font de la Guatlla","88.7","85.7","85.1","88.4","84.3"
3,"15. Hostafrancs","87.5","85.4","86.3","81.7","87.4"
3,"16. la Bordeta","88.7","86.3","85.6","86.9","86.3"
3,"17. Sants - Badal","88.4","85.9","86.4","87.8","87.7"
3,"18. Sants","89.4","86.5","86.2","86.5","86.1"
4,"19. les Corts","89.4","87.1","87.4","86.8","88.1"
4,"20. la Maternitat i Sant Ramon",90,"87.4","87.5","87.8",89
4,"21. Pedralbes",89,"87.3","87.5",86,"88.4"
5,"22. Vallvidrera, el Tibidabo i les Planes","83.4","80.5","80.4","88.5","82.2"
5,"23. Sarrià","90.9","87.6","87.1","84.8","86.9"
5,"24. les Tres Torres","89.7","87.7","87.6","85.1","88.1"
5,"25. Sant Gervasi - la Bonanova","89.2","86.5","86.5","85.7","86.8"
5,"26. Sant Gervasi - Galvany","88.8","86.5","86.4","87.7","86.9"
5,"27. el Putxet i el Farró","89.9","87.6","87.8","86.6","87.9"
6,"28. Vallcarca i els Penitents","88.2","86.1","86.4",86,"86.3"
6,"29. el Coll","89.9","88.2","88.2","87.6","88.6"
6,"30. la Salut","85.7","84.1","84.4","85.3","85.7"
6,"31. la Vila de Gràcia","87.5","85.1","85.4","87.2","86.1"
6,"32. el Camp d'en Grassot i Gràcia Nova","90.1","87.6","87.6","86.2","87.4"
7,"33. el Baix Guinardó","90.1","87.2","86.8","85.1","86.8"
7,"34. Can Baró","88.2","86.2",86,"85.5","86.6"
7,"35. el Guinardó","89.3","86.4",87,"82.3","88.3"
7,"36. la Font d'en Fargues","87.3","85.7","85.6","85.8","85.8"
7,"37. el Carmel","88.8","86.6","87.2","87.8","88.1"
7,"38. la Teixonera","86.7","84.8",85,"85.6","87.3"
7,"39. Sant Genís dels Agudells","87.3",85,"84.6","86.9","85.5"
7,"40. Montbau","83.5","81.3","81.9","87.3","83.9"
7,"41. la Vall d'Hebron","86.6","85.3",86,"88.4","86.5"
7,"42. la Clota",,,,,
7,"43. Horta","87.1","85.5","85.5","86.5",86
8,"44. Vilapicina i la Torre Llobeta","89.6","87.2","87.2","85.8",87
8,"45. Porta","88.3",86,"86.5",87,"87.7"
8,"46. el Turó de la Peira","90.4","87.8",88,86,"89.8"
8,"47. Can Peguera","82.2","79.7","80.3","87.2","85.1"
8,"48. la Guineueta","88.3","85.9","86.1","87.8",87
8,"49. Canyelles","89.6",86,"85.9","83.5","86.5"
8,"50. les Roquetes","88.5","86.1","85.9","83.6","86.5"
8,"51. Verdun","88.4","86.6","86.9","86.2",89
8,"52. la Prosperitat","89.6","87.1","87.4","80.5","88.4"
8,"53. la Trinitat Nova","87.4","84.5","84.1","87.7","83.3"
8,"54. Torre Baró",,"81.7","81.6","83.1","84.8"
8,"55. Ciutat Meridiana","87.9","85.3","85.7","86.3","88.2"
8,"56. Vallbona",,,,,"78.4"
9,"57. la Trinitat Vella",87,"85.8","86.3","86.9","89.5"
9,"58. Baró de Viver","82.4","79.9",,88,"85.7"
9,"59. el Bon Pastor","86.3","84.8","85.6","88.5","86.8"
9,"60. Sant Andreu","88.8","86.4","86.7","88.3","87.8"
9,"61. la Sagrera","89.9","87.1","87.3","87.4","88.2"
9,"62. el Congrés i els Indians","89.9","87.5","87.8","87.7","88.9"
9,"63. Navas","89.8","87.4","87.6",86,"89.6"
10,"64. el Camp de l'Arpa del Clot","89.1","86.6","87.2","88.3","87.5"
10,"65. el Clot","88.7","86.7","87.2","86.9","88.6"
10,"66. el Parc i la Llacuna del Poblenou","88.1","85.4","85.6","87.9","85.6"
10,"67. la Vila Olímpica del Poblenou","90.4",87,88,"85.1","87.5"
10,"68. el Poblenou","88.1","85.7","86.1","85.8","87.1"
10,"69. Diagonal Mar i el Front Marítim del Poblenou","88.1","87.3","87.4","87.3","88.1"
10,"70. el Besòs i el Maresme","86.8",85,"85.5","86.6","86.4"
10,"71. Provençals del Poblenou","88.4","86.7","86.5","86.3","88.4"
10,"72. Sant Martí de Provençals","88.8","86.1","86.2","86.4","87.2"
10,"73. la Verneda i la Pau","87.9","85.8","85.7","88.1",87
