"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Domicilis","Ocupació mitjana (persones per domicili)"
2007,1,"Ciutat Vella",1,"el Raval",46595,17235,2.7
2007,1,"Ciutat Vella",2,"el Barri Gòtic",27946,7113,3.93
2007,1,"Ciutat Vella",3,"la Barceloneta",15921,7100,2.24
2007,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22572,9947,2.27
2007,2,"Eixample",5,"el Fort Pienc",31521,12813,2.46
2007,2,"Eixample",6,"la Sagrada Família",52185,22134,2.36
2007,2,"Eixample",7,"la Dreta de l'Eixample",42504,17998,2.36
2007,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41413,18128,2.28
2007,2,"Eixample",9,"la Nova Esquerra de l'Eixample",58146,24404,2.38
2007,2,"Eixample",10,"Sant Antoni",37988,16403,2.32
2007,3,"Sants-Montjuïc",11,"el Poble Sec",39594,16271,2.43
2007,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1149,447,2.57
2007,3,"Sants-Montjuïc",13,"la Marina de Port",29327,11204,2.62
2007,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10064,4132,2.44
2007,3,"Sants-Montjuïc",15,"Hostafrancs",15771,6469,2.44
2007,3,"Sants-Montjuïc",16,"la Bordeta",18592,7364,2.52
2007,3,"Sants-Montjuïc",17,"Sants - Badal",24085,9836,2.45
2007,3,"Sants-Montjuïc",18,"Sants",40272,16938,2.38
2007,4,"Les Corts",19,"les Corts",46400,18683,2.48
2007,4,"Les Corts",20,"la Maternitat i Sant Ramon",23938,9450,2.53
2007,4,"Les Corts",21,"Pedralbes",11413,4131,2.76
2007,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4038,1406,2.87
2007,5,"Sarrià-Sant Gervasi",23,"Sarrià",23316,8579,2.72
2007,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",15325,5376,2.85
2007,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",23634,8854,2.67
2007,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46454,18382,2.53
2007,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",28990,11912,2.43
2007,6,"Gràcia",28,"Vallcarca i els Penitents",15381,6413,2.4
2007,6,"Gràcia",29,"el Coll",7190,3009,2.39
2007,6,"Gràcia",30,"la Salut",13072,5311,2.46
2007,6,"Gràcia",31,"la Vila de Gràcia",50409,22834,2.21
2007,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34535,14776,2.34
2007,7,"Horta-Guinardó",33,"el Baix Guinardó",25816,10761,2.4
2007,7,"Horta-Guinardó",34,"Can Baró",8998,3733,2.41
2007,7,"Horta-Guinardó",35,"el Guinardó",35038,14685,2.39
2007,7,"Horta-Guinardó",36,"la Font d'en Fargues",9621,3659,2.63
2007,7,"Horta-Guinardó",37,"el Carmel",32745,12767,2.56
2007,7,"Horta-Guinardó",38,"la Teixonera",11332,4669,2.43
2007,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",7069,2885,2.45
2007,7,"Horta-Guinardó",40,"Montbau",5105,2141,2.38
2007,7,"Horta-Guinardó",41,"la Vall d'Hebron",5476,2105,2.6
2007,7,"Horta-Guinardó",42,"la Clota",445,182,2.45
2007,7,"Horta-Guinardó",43,"Horta",26638,10605,2.51
2007,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25672,10382,2.47
2007,8,"Nou Barris",45,"Porta",23470,9727,2.41
2007,8,"Nou Barris",46,"el Turó de la Peira",15102,6075,2.49
2007,8,"Nou Barris",47,"Can Peguera",2143,862,2.49
2007,8,"Nou Barris",48,"la Guineueta",15394,6216,2.48
2007,8,"Nou Barris",49,"Canyelles",7539,2804,2.69
2007,8,"Nou Barris",50,"les Roquetes",15756,5919,2.66
2007,8,"Nou Barris",51,"Verdun",12301,5007,2.46
2007,8,"Nou Barris",52,"la Prosperitat",26696,10627,2.51
2007,8,"Nou Barris",53,"la Trinitat Nova",8011,3206,2.5
2007,8,"Nou Barris",54,"Torre Baró",2105,684,3.08
2007,8,"Nou Barris",55,"Ciutat Meridiana",10929,3711,2.95
2007,8,"Nou Barris",56,"Vallbona",1267,469,2.7
2007,9,"Sant Andreu",57,"la Trinitat Vella",9992,3437,2.91
2007,9,"Sant Andreu",58,"Baró de Viver",2397,921,2.6
2007,9,"Sant Andreu",59,"el Bon Pastor",12332,4664,2.64
2007,9,"Sant Andreu",60,"Sant Andreu",55171,22206,2.48
2007,9,"Sant Andreu",61,"la Sagrera",28469,11324,2.51
2007,9,"Sant Andreu",62,"el Congrés i els Indians",13896,5938,2.34
2007,9,"Sant Andreu",63,"Navas",21454,8675,2.47
2007,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",38604,16225,2.38
2007,10,"Sant Martí",65,"el Clot",26796,10520,2.55
2007,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",13104,5350,2.45
2007,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",8783,3294,2.67
2007,10,"Sant Martí",68,"el Poblenou",30181,12290,2.46
2007,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",9775,4032,2.42
2007,10,"Sant Martí",70,"el Besòs i el Maresme",22652,8244,2.75
2007,10,"Sant Martí",71,"Provençals del Poblenou",18731,7243,2.59
2007,10,"Sant Martí",72,"Sant Martí de Provençals",26261,10626,2.47
2007,10,"Sant Martí",73,"la Verneda i la Pau",29452,11474,2.57
