"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Domicilis","Ocupació mitjana (persones per domicili)"
2014,1,"Ciutat Vella",1,"el Raval",48471,17000,2.9
2014,1,"Ciutat Vella",2,"el Barri Gòtic",15911,6638,2.4
2014,1,"Ciutat Vella",3,"la Barceloneta",15181,6881,2.2
2014,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22674,10021,2.3
2014,2,"Eixample",5,"el Fort Pienc",31785,12978,2.4
2014,2,"Eixample",6,"la Sagrada Família",51562,22019,2.3
2014,2,"Eixample",7,"la Dreta de l'Eixample",43749,18518,2.4
2014,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41975,18282,2.3
2014,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57863,24561,2.4
2014,2,"Eixample",10,"Sant Antoni",38369,16459,2.3
2014,3,"Sants-Montjuïc",11,"el Poble Sec",40674,16092,2.5
2014,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1151,447,2.6
2014,3,"Sants-Montjuïc",13,"la Marina de Port",30286,11784,2.6
2014,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10406,4335,2.4
2014,3,"Sants-Montjuïc",15,"Hostafrancs",15919,6579,2.4
2014,3,"Sants-Montjuïc",16,"la Bordeta",18451,7505,2.5
2014,3,"Sants-Montjuïc",17,"Sants - Badal",24245,10012,2.4
2014,3,"Sants-Montjuïc",18,"Sants",41102,17307,2.4
2014,4,"Les Corts",19,"les Corts",46205,19039,2.4
2014,4,"Les Corts",20,"la Maternitat i Sant Ramon",23735,9609,2.5
2014,4,"Les Corts",21,"Pedralbes",11670,4224,2.8
2014,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4615,1568,2.9
2014,5,"Sarrià-Sant Gervasi",23,"Sarrià",24691,8879,2.8
2014,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16381,5570,2.9
2014,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",25378,9336,2.7
2014,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46648,18498,2.5
2014,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29041,12148,2.4
2014,6,"Gràcia",28,"Vallcarca i els Penitents",15454,6452,2.4
2014,6,"Gràcia",29,"el Coll",7307,3045,2.4
2014,6,"Gràcia",30,"la Salut",13256,5435,2.4
2014,6,"Gràcia",31,"la Vila de Gràcia",50680,22939,2.2
2014,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34146,14795,2.3
2014,7,"Horta-Guinardó",33,"el Baix Guinardó",25587,10854,2.4
2014,7,"Horta-Guinardó",34,"Can Baró",8887,3757,2.4
2014,7,"Horta-Guinardó",35,"el Guinardó",35698,15109,2.4
2014,7,"Horta-Guinardó",36,"la Font d'en Fargues",9467,3692,2.6
2014,7,"Horta-Guinardó",37,"el Carmel",31728,12793,2.5
2014,7,"Horta-Guinardó",38,"la Teixonera",11379,4729,2.4
2014,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",6865,2859,2.4
2014,7,"Horta-Guinardó",40,"Montbau",5082,2109,2.4
2014,7,"Horta-Guinardó",41,"la Vall d'Hebron",5422,2187,2.5
2014,7,"Horta-Guinardó",42,"la Clota",529,226,2.3
2014,7,"Horta-Guinardó",43,"Horta",26591,10722,2.5
2014,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25500,10442,2.4
2014,8,"Nou Barris",45,"Porta",24424,10175,2.4
2014,8,"Nou Barris",46,"el Turó de la Peira",15471,6189,2.5
2014,8,"Nou Barris",47,"Can Peguera",2288,933,2.5
2014,8,"Nou Barris",48,"la Guineueta",15090,6178,2.4
2014,8,"Nou Barris",49,"Canyelles",7014,2810,2.5
2014,8,"Nou Barris",50,"les Roquetes",15668,5869,2.7
2014,8,"Nou Barris",51,"Verdun",12239,5056,2.4
2014,8,"Nou Barris",52,"la Prosperitat",26171,10720,2.4
2014,8,"Nou Barris",53,"la Trinitat Nova",7462,2925,2.6
2014,8,"Nou Barris",54,"Torre Baró",2682,894,3
2014,8,"Nou Barris",55,"Ciutat Meridiana",10356,3588,2.9
2014,8,"Nou Barris",56,"Vallbona",1353,473,2.9
2014,9,"Sant Andreu",57,"la Trinitat Vella",10268,3506,2.9
2014,9,"Sant Andreu",58,"Baró de Viver",2508,963,2.6
2014,9,"Sant Andreu",59,"el Bon Pastor",12758,4656,2.7
2014,9,"Sant Andreu",60,"Sant Andreu",56496,23359,2.4
2014,9,"Sant Andreu",61,"la Sagrera",28914,11690,2.5
2014,9,"Sant Andreu",62,"el Congrés i els Indians",14076,5919,2.4
2014,9,"Sant Andreu",63,"Navas",21949,8957,2.5
2014,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",38130,16289,2.3
2014,10,"Sant Martí",65,"el Clot",27082,10803,2.5
2014,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",14814,6087,2.4
2014,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9391,3548,2.6
2014,10,"Sant Martí",68,"el Poblenou",33425,13551,2.5
2014,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",13351,5438,2.5
2014,10,"Sant Martí",70,"el Besòs i el Maresme",23191,8403,2.8
2014,10,"Sant Martí",71,"Provençals del Poblenou",20184,8054,2.5
2014,10,"Sant Martí",72,"Sant Martí de Provençals",26018,10623,2.4
2014,10,"Sant Martí",73,"la Verneda i la Pau",28903,11476,2.5
