"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat quinquennal","Nombre"
2008,1,"Ciutat Vella",1,"el Raval","Home","< 24 anys",86
2008,1,"Ciutat Vella",2,"el Barri Gòtic","Home","< 24 anys",39
2008,1,"Ciutat Vella",3,"la Barceloneta","Home","< 24 anys",34
2008,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","< 24 anys",32
2008,2,"Eixample",5,"el Fort Pienc","Home","< 24 anys",49
2008,2,"Eixample",6,"la Sagrada Família","Home","< 24 anys",54
2008,2,"Eixample",7,"la Dreta de l'Eixample","Home","< 24 anys",47
2008,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","< 24 anys",63
2008,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","< 24 anys",79
2008,2,"Eixample",10,"Sant Antoni","Home","< 24 anys",52
2008,3,"Sants-Montjuïc",11,"el Poble Sec","Home","< 24 anys",37
2008,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","< 24 anys",2
2008,3,"Sants-Montjuïc",13,"la Marina de Port","Home","< 24 anys",27
2008,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","< 24 anys",13
2008,3,"Sants-Montjuïc",15,"Hostafrancs","Home","< 24 anys",21
2008,3,"Sants-Montjuïc",16,"la Bordeta","Home","< 24 anys",21
2008,3,"Sants-Montjuïc",17,"Sants - Badal","Home","< 24 anys",36
2008,3,"Sants-Montjuïc",18,"Sants","Home","< 24 anys",56
2008,4,"Les Corts",19,"les Corts","Home","< 24 anys",59
2008,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","< 24 anys",23
2008,4,"Les Corts",21,"Pedralbes","Home","< 24 anys",16
2008,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","< 24 anys",6
2008,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","< 24 anys",18
2008,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","< 24 anys",12
2008,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","< 24 anys",23
2008,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","< 24 anys",51
2008,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","< 24 anys",33
2008,6,"Gràcia",28,"Vallcarca i els Penitents","Home","< 24 anys",17
2008,6,"Gràcia",29,"el Coll","Home","< 24 anys",5
2008,6,"Gràcia",30,"la Salut","Home","< 24 anys",17
2008,6,"Gràcia",31,"la Vila de Gràcia","Home","< 24 anys",64
2008,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","< 24 anys",40
2008,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","< 24 anys",22
2008,7,"Horta-Guinardó",34,"Can Baró","Home","< 24 anys",11
2008,7,"Horta-Guinardó",35,"el Guinardó","Home","< 24 anys",41
2008,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","< 24 anys",9
2008,7,"Horta-Guinardó",37,"el Carmel","Home","< 24 anys",34
2008,7,"Horta-Guinardó",38,"la Teixonera","Home","< 24 anys",11
2008,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","< 24 anys",6
2008,7,"Horta-Guinardó",40,"Montbau","Home","< 24 anys",6
2008,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","< 24 anys",3
2008,7,"Horta-Guinardó",42,"la Clota","Home","< 24 anys",0
2008,7,"Horta-Guinardó",43,"Horta","Home","< 24 anys",22
2008,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","< 24 anys",18
2008,8,"Nou Barris",45,"Porta","Home","< 24 anys",21
2008,8,"Nou Barris",46,"el Turó de la Peira","Home","< 24 anys",19
2008,8,"Nou Barris",47,"Can Peguera","Home","< 24 anys",3
2008,8,"Nou Barris",48,"la Guineueta","Home","< 24 anys",15
2008,8,"Nou Barris",49,"Canyelles","Home","< 24 anys",8
2008,8,"Nou Barris",50,"les Roquetes","Home","< 24 anys",22
2008,8,"Nou Barris",51,"Verdun","Home","< 24 anys",13
2008,8,"Nou Barris",52,"la Prosperitat","Home","< 24 anys",15
2008,8,"Nou Barris",53,"la Trinitat Nova","Home","< 24 anys",8
2008,8,"Nou Barris",54,"Torre Baró","Home","< 24 anys",2
2008,8,"Nou Barris",55,"Ciutat Meridiana","Home","< 24 anys",15
2008,8,"Nou Barris",56,"Vallbona","Home","< 24 anys",1
2008,9,"Sant Andreu",57,"la Trinitat Vella","Home","< 24 anys",9
2008,9,"Sant Andreu",58,"Baró de Viver","Home","< 24 anys",0
2008,9,"Sant Andreu",59,"el Bon Pastor","Home","< 24 anys",13
2008,9,"Sant Andreu",60,"Sant Andreu","Home","< 24 anys",45
2008,9,"Sant Andreu",61,"la Sagrera","Home","< 24 anys",41
2008,9,"Sant Andreu",62,"el Congrés i els Indians","Home","< 24 anys",9
2008,9,"Sant Andreu",63,"Navas","Home","< 24 anys",24
2008,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","< 24 anys",51
2008,10,"Sant Martí",65,"el Clot","Home","< 24 anys",29
2008,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","< 24 anys",14
2008,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","< 24 anys",15
2008,10,"Sant Martí",68,"el Poblenou","Home","< 24 anys",33
2008,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","< 24 anys",6
2008,10,"Sant Martí",70,"el Besòs i el Maresme","Home","< 24 anys",17
2008,10,"Sant Martí",71,"Provençals del Poblenou","Home","< 24 anys",5
2008,10,"Sant Martí",72,"Sant Martí de Provençals","Home","< 24 anys",21
2008,10,"Sant Martí",73,"la Verneda i la Pau","Home","< 24 anys",20
2008,99,"No consta",99,"No consta","Home","< 24 anys",1
2008,1,"Ciutat Vella",1,"el Raval","Home","25-29 anys",243
2008,1,"Ciutat Vella",2,"el Barri Gòtic","Home","25-29 anys",114
2008,1,"Ciutat Vella",3,"la Barceloneta","Home","25-29 anys",112
2008,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","25-29 anys",161
2008,2,"Eixample",5,"el Fort Pienc","Home","25-29 anys",132
2008,2,"Eixample",6,"la Sagrada Família","Home","25-29 anys",225
2008,2,"Eixample",7,"la Dreta de l'Eixample","Home","25-29 anys",167
2008,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","25-29 anys",207
