"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat quinquennal","Nombre"
2015,1,"Ciutat Vella",1,"el Raval","Home","< 24 anys",76
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Home","< 24 anys",37
2015,1,"Ciutat Vella",3,"la Barceloneta","Home","< 24 anys",33
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","< 24 anys",44
2015,2,"Eixample",5,"el Fort Pienc","Home","< 24 anys",33
2015,2,"Eixample",6,"la Sagrada Família","Home","< 24 anys",42
2015,2,"Eixample",7,"la Dreta de l'Eixample","Home","< 24 anys",46
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","< 24 anys",51
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","< 24 anys",57
2015,2,"Eixample",10,"Sant Antoni","Home","< 24 anys",34
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Home","< 24 anys",38
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","< 24 anys",3
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Home","< 24 anys",10
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","< 24 anys",9
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Home","< 24 anys",11
2015,3,"Sants-Montjuïc",16,"la Bordeta","Home","< 24 anys",14
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Home","< 24 anys",22
2015,3,"Sants-Montjuïc",18,"Sants","Home","< 24 anys",40
2015,4,"Les Corts",19,"les Corts","Home","< 24 anys",29
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","< 24 anys",18
2015,4,"Les Corts",21,"Pedralbes","Home","< 24 anys",8
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","< 24 anys",4
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","< 24 anys",23
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","< 24 anys",11
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","< 24 anys",26
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","< 24 anys",51
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","< 24 anys",38
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Home","< 24 anys",11
2015,6,"Gràcia",29,"el Coll","Home","< 24 anys",6
2015,6,"Gràcia",30,"la Salut","Home","< 24 anys",13
2015,6,"Gràcia",31,"la Vila de Gràcia","Home","< 24 anys",47
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","< 24 anys",31
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","< 24 anys",18
2015,7,"Horta-Guinardó",34,"Can Baró","Home","< 24 anys",6
2015,7,"Horta-Guinardó",35,"el Guinardó","Home","< 24 anys",33
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","< 24 anys",5
2015,7,"Horta-Guinardó",37,"el Carmel","Home","< 24 anys",24
2015,7,"Horta-Guinardó",38,"la Teixonera","Home","< 24 anys",13
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","< 24 anys",6
2015,7,"Horta-Guinardó",40,"Montbau","Home","< 24 anys",4
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","< 24 anys",2
2015,7,"Horta-Guinardó",42,"la Clota","Home","< 24 anys",0
2015,7,"Horta-Guinardó",43,"Horta","Home","< 24 anys",7
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","< 24 anys",11
2015,8,"Nou Barris",45,"Porta","Home","< 24 anys",16
2015,8,"Nou Barris",46,"el Turó de la Peira","Home","< 24 anys",10
2015,8,"Nou Barris",47,"Can Peguera","Home","< 24 anys",1
2015,8,"Nou Barris",48,"la Guineueta","Home","< 24 anys",5
2015,8,"Nou Barris",49,"Canyelles","Home","< 24 anys",3
2015,8,"Nou Barris",50,"les Roquetes","Home","< 24 anys",12
2015,8,"Nou Barris",51,"Verdun","Home","< 24 anys",7
2015,8,"Nou Barris",52,"la Prosperitat","Home","< 24 anys",14
2015,8,"Nou Barris",53,"la Trinitat Nova","Home","< 24 anys",5
2015,8,"Nou Barris",54,"Torre Baró","Home","< 24 anys",3
2015,8,"Nou Barris",55,"Ciutat Meridiana","Home","< 24 anys",7
2015,8,"Nou Barris",56,"Vallbona","Home","< 24 anys",3
2015,9,"Sant Andreu",57,"la Trinitat Vella","Home","< 24 anys",14
2015,9,"Sant Andreu",58,"Baró de Viver","Home","< 24 anys",2
2015,9,"Sant Andreu",59,"el Bon Pastor","Home","< 24 anys",10
2015,9,"Sant Andreu",60,"Sant Andreu","Home","< 24 anys",32
